station,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
CASTLE HILL AVENUE,1,18,18,14,2,0,0,2,8,41,1,1,2,51,0,53
6,1,18,18,14,2,0,0,2,8,41,1,1,2,51,0,53
CYPRESS AVENUE,0,5,10,4,2,0,0,0,7,13,0,1,3,18,0,21
6,0,5,10,4,2,0,0,0,7,13,0,1,3,18,0,21
DISTRICT 12 OFFICE,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
N/A,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
DYRE AVE.-EASTCHESTER,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
EAST 143 ST.-ST. MARYS STREET,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
EAST 149 STREET,1,35,24,15,1,0,0,6,26,39,0,5,6,69,1,76
6,1,35,24,15,1,0,0,6,26,39,0,5,6,69,1,76
EAST 174 STREET,0,12,20,7,0,0,0,0,21,18,0,0,4,35,0,39
"2,5",0,12,20,7,0,0,0,0,21,18,0,0,4,35,0,39
EAST 177 ST.-PARKCHESTER,1,12,20,11,1,1,0,2,15,26,0,3,5,41,0,46
6,1,12,20,11,1,1,0,2,15,26,0,3,5,41,0,46
EAST 180 STREET,0,60,87,64,3,0,1,9,87,98,4,15,48,166,0,214
"2,5",0,60,87,64,3,0,1,9,87,98,4,15,48,166,0,214
EAST TREMONT AV.-WESTCHESTER SQ.,0,0,1,0,1,0,0,0,0,2,0,0,0,2,0,2
6,0,0,1,0,1,0,0,0,0,2,0,0,0,2,0,2
EAST TREMONT AVE.-WEST FARMS SQ.,1,23,32,29,1,0,0,0,36,45,1,4,14,72,0,86
"2,5",1,23,32,29,1,0,0,0,36,45,1,4,14,72,0,86
ELDER AVENUE,2,14,48,10,0,1,0,1,22,48,3,1,11,64,0,75
6,2,14,48,10,0,1,0,1,22,48,3,1,11,64,0,75
Fordham Rd/Grand Concource,0,9,12,4,1,0,0,0,11,12,2,1,2,23,1,26
"B,D",0,9,12,4,1,0,0,0,11,12,2,1,2,23,1,26
FORDHAM ROAD,2,46,100,38,5,1,0,4,51,120,9,8,13,179,0,192
4,2,46,100,38,5,1,0,4,51,120,9,8,13,179,0,192
FREEMAN STREET,1,23,41,14,3,0,0,3,38,37,1,3,15,67,0,82
"2,5",1,23,41,14,3,0,0,3,38,37,1,3,15,67,0,82
GUN HILL ROAD,3,43,58,35,5,0,0,3,84,49,5,3,16,128,0,144
"2,5",3,36,46,30,4,0,0,3,69,42,4,1,13,106,0,119
5,0,7,12,5,1,0,0,0,15,7,1,2,3,22,0,25
HUNTS POINT AVENUE,3,50,53,23,3,1,0,3,64,61,2,3,17,116,0,133
6,3,50,53,23,3,1,0,3,64,61,2,3,17,116,0,133
INTERVALE AVENUE,0,21,48,11,3,0,0,5,35,37,1,5,12,71,0,83
"2,5",0,21,48,11,3,0,0,5,35,37,1,5,12,71,0,83
JACKSON AVENUE,1,10,33,14,0,0,0,0,29,28,0,1,10,48,0,58
"2,5",1,10,33,14,0,0,0,0,29,28,0,1,10,48,0,58
KINGSBRIDGE ROAD,2,10,25,9,3,0,0,1,14,33,0,1,3,46,0,49
4,2,4,10,5,1,0,0,0,6,16,0,0,2,20,0,22
"B,D",0,6,15,4,2,0,0,1,8,17,0,1,1,26,0,27
LONGWOOD AVENUE,0,3,1,2,0,0,0,0,3,2,0,1,0,6,0,6
6,0,3,1,2,0,0,0,0,3,2,0,1,0,6,0,6
MIDDLETOWN ROAD,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,2
6,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,2
MORRIS PARK,0,0,3,0,0,0,0,1,2,0,0,0,1,2,0,3
5,0,0,3,0,0,0,0,1,2,0,0,0,1,2,0,3
MOSHOLU PKWY.,0,8,9,6,2,0,0,0,9,14,0,2,0,25,0,25
4,0,8,9,6,2,0,0,0,9,14,0,2,0,25,0,25
MT. EDEN AVENUE,0,3,10,4,2,0,0,0,2,16,0,1,0,19,0,19
4,0,3,10,4,2,0,0,0,2,16,0,1,0,19,0,19
OFF-SYSTEM,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,2
OFF-SYSTEM,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,2
PELHAM BAY PARK,2,4,3,2,1,0,0,0,5,7,0,0,2,10,0,12
6,2,4,3,2,1,0,0,0,5,7,0,0,2,10,0,12
PELHAM PKWY.,0,11,12,10,1,1,0,1,10,19,1,4,5,30,0,35
"2,5",0,9,6,6,1,1,0,0,6,12,1,4,3,20,0,23
5,0,2,6,4,0,0,0,1,4,7,0,0,2,10,0,12
PROSPECT AVENUE,2,45,50,27,2,0,0,3,57,62,1,3,19,107,0,126
"2,5",2,45,50,27,2,0,0,3,57,62,1,3,19,107,0,126
SIMPSON STREET,0,48,63,36,4,0,0,2,78,62,0,9,17,134,0,151
"2,5",0,48,63,36,4,0,0,2,78,62,0,9,17,134,0,151
SOUNDVIEW AVENUE,1,31,40,29,1,0,0,0,26,70,3,3,6,96,0,102
6,1,31,40,29,1,0,0,0,26,70,3,3,6,96,0,102
ST. LAWRENCE AVENUE,0,21,17,6,0,0,0,5,9,28,2,0,1,42,1,44
6,0,21,17,6,0,0,0,5,9,28,2,0,1,42,1,44
TREMONT AVENUE,1,8,16,19,2,0,0,0,9,30,1,6,2,44,0,46
"B,D",1,8,16,19,2,0,0,0,9,30,1,6,2,44,0,46
WHITLOCK AVENUE,0,17,20,5,0,0,0,1,17,23,1,0,4,38,0,42
6,0,17,20,5,0,0,0,1,17,23,1,0,4,38,0,42
WOODLAWN,2,58,80,33,7,1,1,0,82,86,3,9,25,155,1,181
4,2,58,80,33,7,1,1,0,82,86,3,9,25,155,1,181
ZEREGA AVENUE,0,1,1,2,0,0,0,0,2,2,0,0,0,4,0,4
6,0,1,1,2,0,0,0,0,2,2,0,0,0,4,0,4
15 ST.-PROSPECT PARK,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
"F,G",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
18 AVENUE,0,9,29,15,2,0,0,10,4,29,1,11,13,42,0,55
D,0,9,28,13,2,0,0,9,4,28,1,10,12,40,0,52
F,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
N,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,2
20 AVENUE,0,4,19,11,2,0,0,8,2,12,1,13,14,22,0,36
D,0,3,15,9,0,0,0,4,2,7,1,13,9,18,0,27
N,0,1,4,2,2,0,0,4,0,5,0,0,5,4,0,9
25 AVENUE,0,4,8,5,0,0,0,5,1,3,0,8,6,11,0,17
D,0,4,8,5,0,0,0,5,1,3,0,8,6,11,0,17
25 STREET,0,6,10,5,0,0,0,1,8,9,1,2,1,20,0,21
R,0,6,10,5,0,0,0,1,8,9,1,2,1,20,0,21
36 STREET,1,45,78,28,1,0,0,11,28,81,7,26,45,107,1,153
"D,N,R",1,45,78,28,1,0,0,11,28,81,7,26,45,107,1,153
4 AVENUE-9 STREET,1,25,66,15,2,0,0,5,24,38,5,37,34,75,0,109
"F,G",1,25,66,15,2,0,0,5,24,38,5,37,34,75,0,109
45 STREET,0,0,6,7,1,0,1,3,0,9,0,1,4,10,0,14
R,0,0,6,7,1,0,1,3,0,9,0,1,4,10,0,14
50 STREET,0,0,1,1,0,0,0,1,1,0,0,0,0,2,0,2
D,0,0,1,1,0,0,0,1,1,0,0,0,0,2,0,2
53 STREET,0,6,3,1,0,0,0,1,2,6,0,1,0,10,0,10
R,0,6,3,1,0,0,0,1,2,6,0,1,0,10,0,10
55 STREET,0,1,2,3,0,0,0,0,1,3,0,2,5,1,0,6
D,0,1,2,3,0,0,0,0,1,3,0,2,5,1,0,6
59 STREET,0,20,40,21,0,0,0,7,16,46,3,9,6,75,0,81
"N,R",0,20,40,21,0,0,0,7,16,46,3,9,6,75,0,81
62 STREET,0,1,6,1,0,0,0,0,0,8,0,0,2,6,0,8
D,0,1,6,1,0,0,0,0,0,8,0,0,2,6,0,8
7 AVENUE,0,7,12,11,0,1,0,1,4,10,3,13,9,22,0,31
"F,G",0,7,12,11,0,1,0,1,4,10,3,13,9,22,0,31
71 STREET,0,5,6,5,0,0,0,6,0,8,0,2,5,11,0,16
D,0,5,6,5,0,0,0,6,0,8,0,2,5,11,0,16
77 STREET,0,1,4,0,0,0,0,1,0,2,1,1,1,4,0,5
R,0,1,4,0,0,0,0,1,0,2,1,1,1,4,0,5
79 STREET,0,13,26,26,0,0,2,11,3,35,3,11,15,49,1,65
D,0,13,26,26,0,0,2,11,3,35,3,11,15,49,1,65
7TH AVENUE,0,1,3,2,0,0,0,0,0,4,0,2,1,5,0,6
"B,Q",0,1,3,2,0,0,0,0,0,4,0,2,1,5,0,6
8 AVENUE,0,16,36,29,2,1,1,49,1,22,2,9,27,57,0,84
N,0,16,36,29,2,1,1,49,1,22,2,9,27,57,0,84
86 STREET,0,11,21,15,4,0,2,2,11,15,5,16,17,34,0,51
N,0,1,1,1,0,0,0,0,2,0,0,1,1,2,0,3
R,0,10,20,14,4,0,2,2,9,15,5,15,16,32,0,48
9 AVENUE,0,0,1,2,0,0,1,0,1,0,1,0,0,3,0,3
D,0,0,1,2,0,0,1,0,1,0,1,0,0,3,0,3
95 STREET-BAY RIDGE,0,2,1,0,0,0,0,0,0,2,0,1,0,3,0,3
R,0,2,1,0,0,0,0,0,0,2,0,1,0,3,0,3
9TH STREET,1,9,7,3,2,0,0,0,4,14,1,3,2,20,0,22
R,1,9,7,3,2,0,0,0,4,14,1,3,2,20,0,22
ALABAMA AVENUE,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,2
J,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,2
ATLANTIC AVENUE,6,118,178,56,13,1,0,21,177,77,21,76,95,277,0,372
"2,3,4,5",6,88,114,32,8,0,0,15,123,57,9,44,51,197,0,248
"B,Q",0,21,46,20,5,1,0,6,34,13,12,28,38,55,0,93
L,0,9,18,4,0,0,0,0,20,7,0,4,6,25,0,31
"AVENUE ""H""",0,2,6,2,0,0,0,2,1,5,0,2,3,7,0,10
Q,0,2,6,2,0,0,0,2,1,5,0,2,3,7,0,10
"AVENUE ""I""",0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2
F,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2
"AVENUE ""J""",0,1,4,1,0,0,0,2,0,0,0,4,1,5,0,6
Q,0,1,4,1,0,0,0,2,0,0,0,4,1,5,0,6
"AVENUE ""M""",0,2,6,6,0,0,0,1,2,4,0,7,2,11,1,14
Q,0,2,6,6,0,0,0,1,2,4,0,7,2,11,1,14
"AVENUE ""P""",0,2,0,1,0,0,0,1,1,0,0,1,1,2,0,3
F,0,2,0,1,0,0,0,1,1,0,0,1,1,2,0,3
"AVENUE ""U""",0,7,14,10,1,0,0,2,3,11,3,13,11,20,1,32
F,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
N,0,1,1,2,0,0,0,0,0,3,0,1,1,3,0,4
Q,0,6,12,8,1,0,0,2,3,8,2,12,10,16,1,27
"AVENUE ""X""",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
F,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
BAY 50 STREET,0,2,6,6,0,0,0,6,3,4,0,1,6,8,0,14
D,0,2,6,6,0,0,0,6,3,4,0,1,6,8,0,14
BAY PARKWAY,0,6,20,10,0,0,0,12,4,13,1,6,10,26,0,36
D,0,2,0,1,0,0,0,0,0,1,1,1,1,2,0,3
N,0,4,20,9,0,0,0,12,4,12,0,5,9,24,0,33
BAY RIDGE AVENUE,0,3,5,8,1,0,0,3,1,6,1,6,5,12,0,17
R,0,3,5,8,1,0,0,3,1,6,1,6,5,12,0,17
BEDFORD AVENUE,2,45,51,10,0,0,0,6,12,27,2,61,28,79,1,108
L,2,45,51,10,0,0,0,6,12,27,2,61,28,79,1,108
BEDFORD-NOSTRAND AVENUES,0,14,22,2,0,1,0,5,10,7,1,16,17,22,0,39
G,0,14,22,2,0,1,0,5,10,7,1,16,17,22,0,39
BERGEN STREET,0,4,7,1,0,0,0,0,3,6,1,2,7,5,0,12
"2,3",0,3,5,1,0,0,0,0,2,4,1,2,4,5,0,9
"F,G",0,1,2,0,0,0,0,0,1,2,0,0,3,0,0,3
BEVERLEY ROAD,0,2,1,0,0,0,0,0,2,1,0,0,0,3,0,3
Q,0,2,1,0,0,0,0,0,2,1,0,0,0,3,0,3
BEVERLY ROAD,0,4,10,0,0,0,0,0,10,2,1,1,1,13,0,14
"2,5",0,4,10,0,0,0,0,0,10,2,1,1,1,13,0,14
BOROUGH HALL,1,24,31,12,1,0,1,5,32,12,2,17,17,52,0,69
"2,3,4,5",1,24,31,12,1,0,1,5,32,12,2,17,17,52,0,69
BOTANIC GARDEN,0,6,1,0,0,0,0,0,4,1,0,2,3,4,0,7
S,0,6,1,0,0,0,0,0,4,1,0,2,3,4,0,7
BRIGHTON BEACH,0,13,24,20,1,0,0,10,1,8,2,37,11,46,1,58
"B,Q",0,13,24,20,1,0,0,10,1,8,2,37,11,46,1,58
BROADWAY,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
G,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
BROADWAY-EAST NEW YORK,2,24,21,10,1,0,0,0,34,17,2,5,16,42,0,58
"A,C",2,24,21,10,1,0,0,0,34,17,2,5,16,42,0,58
BROADWAY-EASTERN PKWY,0,2,1,0,0,0,0,0,1,1,0,1,0,3,0,3
"J,L,Z",0,2,1,0,0,0,0,0,1,1,0,1,0,3,0,3
CARROLL STREET,0,0,3,1,0,0,0,0,1,1,0,2,0,4,0,4
"F,G",0,0,3,1,0,0,0,0,1,1,0,2,0,4,0,4
CENTRAL AVENUE,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
M,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
CHAUNCEY STREET,0,2,2,1,0,0,0,0,3,0,0,2,0,5,0,5
"J,Z",0,2,2,1,0,0,0,0,3,0,0,2,0,5,0,5
CHURCH AVENUE,1,22,38,23,0,0,0,6,47,23,0,8,17,67,0,84
"2,5",1,16,29,13,0,0,0,1,38,14,0,6,10,49,0,59
"B,Q",0,4,4,6,0,0,0,1,9,3,0,1,4,10,0,14
"F,G",0,2,5,4,0,0,0,4,0,6,0,1,3,8,0,11
CLARK STREET,1,2,1,1,0,0,0,0,1,2,0,2,2,3,0,5
"2,3",1,2,1,1,0,0,0,0,1,2,0,2,2,3,0,5
CLEVELAND STREET,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
J,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
CLINTON-WASHINGTON AVENUES,0,17,27,5,0,0,0,3,12,14,2,18,17,32,0,49
C,0,17,23,5,0,0,0,3,12,12,2,16,15,30,0,45
G,0,0,4,0,0,0,0,0,0,2,0,2,2,2,0,4
CORTELYOU ROAD,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,2
Q,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,2
COURT STREET,0,1,2,3,0,0,0,1,1,2,0,2,5,1,0,6
R,0,1,2,3,0,0,0,1,1,2,0,2,5,1,0,6
CRESCENT STREET,0,3,6,5,0,0,0,0,0,13,1,0,1,13,0,14
"J,Z",0,3,6,5,0,0,0,0,0,13,1,0,1,13,0,14
DEKALB AVENUE,7,128,214,69,9,0,3,87,87,101,16,133,166,259,2,427
"B,Q,R",6,116,173,59,8,0,3,85,82,75,14,103,143,217,2,362
L,1,12,41,10,1,0,0,2,5,26,2,30,23,42,0,65
DISTRICT 30 OFFICE,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
N/A,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
DISTRICT 33 OFFICE,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,2
N/A,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,2
DISTRICT 34 OFFICE,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
OFF-SYSTEM,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
DITMAS AVENUE,0,2,1,0,0,0,0,0,0,1,0,2,1,2,0,3
F,0,2,1,0,0,0,0,0,0,1,0,2,1,2,0,3
EAST 105 STREET,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,2
L,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,2
EASTERN PKWY-BROOKLYN MUSEUM,0,9,14,3,1,0,0,1,10,7,0,9,5,22,0,27
"2,3",0,9,14,3,1,0,0,1,10,7,0,9,5,22,0,27
EUCLID AVENUE,0,12,17,9,1,0,0,3,22,14,0,0,7,32,0,39
"A,C",0,12,17,9,1,0,0,3,22,14,0,0,7,32,0,39
FLATBUSH AVE.-BROOKLYN COLLEGE,3,40,73,24,3,1,0,8,91,26,5,14,36,108,0,144
"2,5",3,40,73,24,3,1,0,8,91,26,5,14,36,108,0,144
FLUSHING AVENUE,0,27,38,15,0,0,0,3,29,25,3,20,20,60,0,80
G,0,1,0,3,0,0,0,1,0,1,1,1,0,4,0,4
"J,M",0,26,38,12,0,0,0,2,29,24,2,19,20,56,0,76
FOREST AVENUE,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
M,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
FORT HAMILTON PKWY,1,39,89,56,2,0,0,56,17,79,7,28,56,131,0,187
D,1,21,54,26,0,0,0,10,12,56,6,18,29,73,0,102
N,0,18,35,30,2,0,0,46,5,23,1,10,27,58,0,85
FRANKLIN AVENUE,1,44,98,33,1,0,0,14,74,35,5,49,38,138,1,177
"2,3,4,5",0,23,56,18,0,0,0,7,40,19,3,28,23,74,0,97
C,1,20,42,15,1,0,0,7,34,15,2,21,15,63,1,79
S,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
FRESH POND ROAD,0,2,5,1,0,0,0,2,2,4,0,0,0,8,0,8
M,0,2,5,1,0,0,0,2,2,4,0,0,0,8,0,8
FULTON STREET,0,7,17,8,0,0,0,3,6,10,3,10,8,24,0,32
G,0,7,17,8,0,0,0,3,6,10,3,10,8,24,0,32
GATES AVENUE,0,6,6,0,0,0,0,0,5,3,0,4,3,9,0,12
"J,Z",0,6,6,0,0,0,0,0,5,3,0,4,3,9,0,12
GRAHAM AVENUE,0,8,19,1,0,0,0,0,7,7,0,14,9,18,1,28
L,0,8,19,1,0,0,0,0,7,7,0,14,9,18,1,28
GRAND ARMY PLAZA,0,5,0,0,0,1,0,0,3,0,0,3,2,4,0,6
"2,3",0,5,0,0,0,1,0,0,3,0,0,3,2,4,0,6
GRAND STREET,0,2,4,5,1,0,0,1,2,4,0,5,1,11,0,12
L,0,2,4,5,1,0,0,1,2,4,0,5,1,11,0,12
GRANT AVENUE,0,3,5,2,0,0,0,1,6,2,1,0,2,8,0,10
A,0,3,5,2,0,0,0,1,6,2,1,0,2,8,0,10
GREENPOINT AVENUE,0,4,8,1,0,0,0,1,3,7,0,2,4,9,0,13
G,0,4,8,1,0,0,0,1,3,7,0,2,4,9,0,13
HALSEY STREET,0,7,9,3,0,0,0,2,4,5,0,8,4,15,0,19
J,0,3,4,0,0,0,0,2,3,1,0,1,2,5,0,7
L,0,4,5,3,0,0,0,0,1,4,0,7,2,10,0,12
HEWES STREET,0,1,4,3,0,0,0,0,1,6,0,1,2,6,0,8
"J,M",0,1,4,3,0,0,0,0,1,6,0,1,2,6,0,8
HIGH STREET,0,1,2,1,0,0,0,1,1,0,0,2,1,2,1,4
"A,C",0,1,2,1,0,0,0,1,1,0,0,2,1,2,1,4
HOYT STREET,0,13,22,10,1,0,0,2,28,9,0,7,13,33,0,46
"2,3",0,13,22,10,1,0,0,2,28,9,0,7,13,33,0,46
HOYT-SCHERMERHORN,1,44,65,17,1,0,0,13,44,34,4,33,30,97,1,128
"A,C,G",1,44,65,17,1,0,0,13,44,34,4,33,30,97,1,128
JAY STREET-BOROUGH HALL,13,201,189,69,8,0,1,95,136,123,33,92,132,346,2,480
"A,C,F",13,201,189,69,8,0,1,95,136,123,33,92,132,346,2,480
JEFFERSON STREET,1,39,82,20,1,0,0,8,14,53,9,59,33,110,0,143
L,1,39,82,20,1,0,0,8,14,53,9,59,33,110,0,143
JUNIUS STREET,0,14,21,6,0,0,0,0,26,9,1,5,4,37,0,41
3,0,14,21,6,0,0,0,0,26,9,1,5,4,37,0,41
KINGS HIGHWAY,6,57,105,77,2,1,0,19,32,53,12,132,75,172,1,248
"B,Q",6,51,102,70,2,1,0,13,31,46,12,130,69,162,1,232
N,0,6,3,7,0,0,0,6,1,7,0,2,6,10,0,16
KINGSTON AVENUE,0,6,18,12,1,0,0,0,20,12,0,5,8,29,0,37
3,0,6,18,12,1,0,0,0,20,12,0,5,8,29,0,37
KINGSTON-THROOP AVENUES,1,6,9,1,2,0,0,1,4,5,0,9,6,13,0,19
C,1,6,9,1,2,0,0,1,4,5,0,9,6,13,0,19
KNICKERBOCKER AVENUE,0,1,1,0,0,0,0,0,1,0,0,1,0,2,0,2
M,0,1,1,0,0,0,0,0,1,0,0,1,0,2,0,2
KOSCIUSKO STREET,0,5,10,0,0,0,0,1,4,8,1,1,3,12,0,15
J,0,5,10,0,0,0,0,1,4,8,1,1,3,12,0,15
LAFAYETTE AVENUE,0,6,3,4,0,0,0,0,7,3,2,1,5,8,0,13
C,0,6,3,4,0,0,0,0,7,3,2,1,5,8,0,13
LAWRENCE STREET,0,4,3,1,0,0,0,0,4,2,0,2,3,5,0,8
R,0,4,3,1,0,0,0,0,4,2,0,2,3,5,0,8
LIBERTY AVENUE,0,5,4,1,0,0,0,0,4,4,0,2,1,9,0,10
C,0,5,4,1,0,0,0,0,4,4,0,2,1,9,0,10
LIVONIA AVENUE,1,12,15,5,0,0,0,1,25,5,0,2,8,25,0,33
L,1,12,15,5,0,0,0,1,25,5,0,2,8,25,0,33
LORIMER STREET,1,21,30,5,1,0,0,7,11,14,0,26,16,42,0,58
"J,M",0,9,11,2,0,0,0,3,4,9,0,6,4,18,0,22
L,1,12,19,3,1,0,0,4,7,5,0,20,12,24,0,36
MARCY AVENUE,2,45,49,5,1,0,0,7,18,26,5,46,15,87,0,102
"J,M,Z",2,45,49,5,1,0,0,7,18,26,5,46,15,87,0,102
METROPOLITAN AVENUE,0,6,13,2,0,0,0,3,2,6,1,9,7,14,0,21
G,0,6,13,2,0,0,0,3,2,6,1,9,7,14,0,21
MONTROSE AVENUE,0,5,5,1,0,0,0,1,1,4,0,5,2,9,0,11
L,0,5,5,1,0,0,0,1,1,4,0,5,2,9,0,11
MORGAN AVENUE,1,36,80,18,3,0,0,7,33,27,8,63,36,102,0,138
L,1,36,80,18,3,0,0,7,33,27,8,63,36,102,0,138
MYRTLE AVENUE,0,18,28,8,0,0,0,1,17,17,1,18,11,42,1,54
"J,M,Z",0,18,28,8,0,0,0,1,17,17,1,18,11,42,1,54
MYRTLE/WYCKOFF AVENUES,0,18,34,11,0,0,1,2,8,43,2,7,9,54,0,63
L,0,18,34,11,0,0,1,2,8,43,2,7,9,54,0,63
