station,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
JACKSON AVENUE,0,3,10,2,0,0,0,0,6,9,0,0,2,13,0,15
"2,5",0,3,10,2,0,0,0,0,6,9,0,0,2,13,0,15
KINGSBRIDGE ROAD,1,37,48,27,6,0,0,1,36,78,0,4,18,101,0,119
4,0,7,15,8,3,0,0,0,9,22,0,2,7,26,0,33
"B,D",1,30,33,19,3,0,0,1,27,56,0,2,11,75,0,86
LONGWOOD AVENUE,0,1,4,1,0,0,1,0,2,3,0,0,0,6,0,6
6,0,1,4,1,0,0,1,0,2,3,0,0,0,6,0,6
MORRIS PARK,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
MOSHOLU PKWY.,0,13,22,16,2,0,0,4,11,37,0,1,7,46,0,53
4,0,13,22,16,2,0,0,4,11,37,0,1,7,46,0,53
MT. EDEN AVENUE,0,14,15,7,3,0,0,0,15,24,0,0,7,32,0,39
4,0,14,15,7,3,0,0,0,15,24,0,0,7,32,0,39
OFF-SYSTEM,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
OFF-SYSTEM,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
PELHAM BAY PARK,0,2,0,1,0,0,0,0,3,0,0,0,0,3,0,3
6,0,2,0,1,0,0,0,0,3,0,0,0,0,3,0,3
PELHAM PKWY.,0,5,11,6,0,0,0,2,12,8,0,0,3,19,0,22
"2,5",0,4,8,6,0,0,0,2,10,6,0,0,3,15,0,18
5,0,1,3,0,0,0,0,0,2,2,0,0,0,4,0,4
PROSPECT AVENUE,0,15,22,7,3,0,0,0,24,21,1,1,6,41,0,47
"2,5",0,15,22,7,3,0,0,0,24,21,1,1,6,41,0,47
SIMPSON STREET,1,23,57,20,4,0,0,0,45,57,0,3,19,85,1,105
"2,5",1,23,57,20,4,0,0,0,45,57,0,3,19,85,1,105
SOUNDVIEW AVENUE,2,15,43,16,2,0,0,1,22,53,0,2,11,67,0,78
6,2,15,43,16,2,0,0,1,22,53,0,2,11,67,0,78
ST. LAWRENCE AVENUE,0,7,17,6,1,0,0,2,9,19,1,0,4,27,0,31
6,0,7,17,6,1,0,0,2,9,19,1,0,4,27,0,31
TREMONT AVENUE,0,4,13,7,1,0,0,0,9,14,0,2,4,21,0,25
"B,D",0,4,13,7,1,0,0,0,9,14,0,2,4,21,0,25
WHITLOCK AVENUE,1,4,7,3,1,0,0,0,7,9,0,0,2,14,0,16
6,1,4,7,3,1,0,0,0,7,9,0,0,2,14,0,16
WOODLAWN,0,15,35,18,5,0,0,2,27,36,1,7,7,66,0,73
4,0,15,35,18,5,0,0,2,27,36,1,7,7,66,0,73
ZEREGA AVENUE,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
15 ST.-PROSPECT PARK,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
"F,G",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
18 AVENUE,1,10,27,9,3,0,0,15,2,18,1,14,25,25,0,50
D,1,7,22,7,3,0,0,12,1,17,1,9,19,21,0,40
F,0,1,4,1,0,0,0,0,1,0,0,5,4,2,0,6
N,0,2,1,1,0,0,0,3,0,1,0,0,2,2,0,4
20 AVENUE,1,15,15,15,0,0,0,11,2,20,1,12,17,29,0,46
D,0,13,11,10,0,0,0,6,1,16,1,10,10,24,0,34
N,1,2,4,5,0,0,0,5,1,4,0,2,7,5,0,12
25 AVENUE,0,2,11,5,1,0,0,5,1,7,0,6,7,12,0,19
D,0,2,11,5,1,0,0,5,1,7,0,6,7,12,0,19
25 STREET,0,6,12,5,0,0,0,0,10,9,1,3,2,21,0,23
R,0,6,12,5,0,0,0,0,10,9,1,3,2,21,0,23
36 STREET,0,65,123,69,5,0,0,49,30,103,6,74,102,160,0,262
"D,N,R",0,65,123,69,5,0,0,49,30,103,6,74,102,160,0,262
4 AVENUE-9 STREET,0,2,2,2,1,0,0,1,3,1,0,2,0,7,0,7
"F,G",0,2,2,2,1,0,0,1,3,1,0,2,0,7,0,7
45 STREET,0,8,18,7,1,0,0,1,10,18,2,3,9,25,0,34
R,0,8,18,7,1,0,0,1,10,18,2,3,9,25,0,34
50 STREET,0,3,4,1,0,0,0,1,0,4,0,3,3,5,0,8
D,0,3,4,1,0,0,0,1,0,4,0,3,3,5,0,8
53 STREET,1,14,32,20,1,0,0,4,10,46,2,6,11,57,0,68
R,1,14,32,20,1,0,0,4,10,46,2,6,11,57,0,68
55 STREET,0,0,3,0,0,0,0,0,0,2,0,1,1,2,0,3
D,0,0,3,0,0,0,0,0,0,2,0,1,1,2,0,3
59 STREET,0,51,63,29,1,0,1,19,17,88,2,17,34,110,0,144
"N,R",0,51,63,29,1,0,1,19,17,88,2,17,34,110,0,144
62 STREET,0,2,10,2,0,0,0,2,3,4,3,2,3,11,0,14
D,0,2,10,2,0,0,0,2,3,4,3,2,3,11,0,14
7 AVENUE,0,1,6,7,0,0,0,1,1,5,0,7,7,7,0,14
"F,G",0,1,6,7,0,0,0,1,1,5,0,7,7,7,0,14
71 STREET,0,2,7,5,0,0,0,6,0,4,1,3,5,9,0,14
D,0,2,7,5,0,0,0,6,0,4,1,3,5,9,0,14
77 STREET,0,2,0,3,0,0,0,1,0,4,0,0,3,2,0,5
R,0,2,0,3,0,0,0,1,0,4,0,0,3,2,0,5
79 STREET,0,3,17,16,2,0,0,13,0,22,0,3,16,22,0,38
D,0,3,17,16,2,0,0,13,0,22,0,3,16,22,0,38
7TH AVENUE,0,1,7,2,0,0,0,0,2,3,0,5,3,7,0,10
"B,Q",0,1,7,2,0,0,0,0,2,3,0,5,3,7,0,10
8 AVENUE,0,20,38,23,8,0,0,55,2,20,9,3,31,56,2,89
N,0,20,38,23,8,0,0,55,2,20,9,3,31,56,2,89
86 STREET,0,4,1,2,2,0,0,2,1,2,0,4,4,5,0,9
N,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
R,0,3,1,2,2,0,0,2,1,1,0,4,4,4,0,8
9 AVENUE,0,6,1,5,0,0,0,2,1,8,0,1,4,8,0,12
D,0,6,1,5,0,0,0,2,1,8,0,1,4,8,0,12
95 STREET-BAY RIDGE,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
R,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
9TH STREET,1,2,4,1,1,0,0,1,3,4,0,1,1,8,0,9
R,1,2,4,1,1,0,0,1,3,4,0,1,1,8,0,9
ALABAMA AVENUE,0,8,16,1,1,0,0,0,19,6,0,1,2,24,0,26
J,0,8,16,1,1,0,0,0,19,6,0,1,2,24,0,26
ATLANTIC AVENUE,4,114,153,65,6,1,0,20,164,90,18,51,109,231,3,343
"2,3,4,5",2,68,105,43,5,1,0,16,96,60,13,39,75,147,2,224
"B,Q",2,34,23,13,1,0,0,4,43,13,4,9,29,43,1,73
L,0,12,25,9,0,0,0,0,25,17,1,3,5,41,0,46
"AVENUE ""H""",0,2,6,3,0,0,0,1,3,1,1,5,4,7,0,11
Q,0,2,6,3,0,0,0,1,3,1,1,5,4,7,0,11
"AVENUE ""I""",0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2
F,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2
"AVENUE ""J""",0,0,3,1,0,0,0,0,2,1,0,1,1,3,0,4
Q,0,0,3,1,0,0,0,0,2,1,0,1,1,3,0,4
"AVENUE ""M""",0,5,22,11,2,0,1,4,7,10,3,15,25,15,0,40
Q,0,5,22,11,2,0,1,4,7,10,3,15,25,15,0,40
"AVENUE ""N""",0,0,1,2,0,0,0,1,0,0,1,1,1,2,0,3
F,0,0,1,2,0,0,0,1,0,0,1,1,1,2,0,3
"AVENUE ""P""",0,0,2,1,0,0,0,0,0,0,0,3,1,2,0,3
F,0,0,2,1,0,0,0,0,0,0,0,3,1,2,0,3
"AVENUE ""U""",0,3,13,4,2,0,0,2,4,3,1,12,9,13,0,22
F,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
N,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
Q,0,3,12,4,1,0,0,2,4,3,1,10,8,12,0,20
BAY 50 STREET,0,0,1,2,1,0,0,2,0,2,0,0,0,4,0,4
D,0,0,1,2,1,0,0,2,0,2,0,0,0,4,0,4
BAY PARKWAY,0,16,33,24,1,0,1,26,3,18,2,24,33,40,1,74
D,0,4,8,1,0,0,0,3,1,4,0,5,6,7,0,13
N,0,12,25,23,1,0,1,23,2,14,2,19,27,33,1,61
BAY RIDGE AVENUE,0,5,6,7,0,0,0,5,2,8,0,3,5,13,0,18
R,0,5,6,7,0,0,0,5,2,8,0,3,5,13,0,18
BEDFORD AVENUE,0,31,41,4,1,0,0,9,13,16,3,36,24,53,0,77
L,0,31,41,4,1,0,0,9,13,16,3,36,24,53,0,77
BEDFORD-NOSTRAND AVENUES,1,35,48,15,2,0,0,5,18,31,3,44,37,63,1,101
G,1,35,48,15,2,0,0,5,18,31,3,44,37,63,1,101
BERGEN STREET,0,8,10,5,2,0,0,3,5,9,2,6,11,14,0,25
"2,3",0,2,3,1,0,0,0,0,3,1,0,2,3,3,0,6
"F,G",0,6,7,4,2,0,0,3,2,8,2,4,8,11,0,19
BEVERLEY ROAD,0,1,2,0,0,0,0,0,1,0,0,2,2,1,0,3
Q,0,1,2,0,0,0,0,0,1,0,0,2,2,1,0,3
BEVERLY ROAD,0,3,10,2,0,0,0,0,7,7,0,1,1,14,0,15
"2,5",0,3,10,2,0,0,0,0,7,7,0,1,1,14,0,15
BOROUGH HALL,0,4,6,9,0,0,0,1,8,7,0,3,5,14,0,19
"2,3,4,5",0,4,6,9,0,0,0,1,8,7,0,3,5,14,0,19
BOTANIC GARDEN,1,6,2,0,0,0,0,0,5,4,0,0,2,7,0,9
S,1,6,2,0,0,0,0,0,5,4,0,0,2,7,0,9
BRIGHTON BEACH,0,11,36,21,3,0,0,1,1,19,6,44,25,46,0,71
"B,Q",0,11,36,21,3,0,0,1,1,19,6,44,25,46,0,71
BROADWAY,0,1,2,0,0,0,0,0,0,2,0,1,0,3,0,3
G,0,1,2,0,0,0,0,0,0,2,0,1,0,3,0,3
BROADWAY-EAST NEW YORK,1,34,53,23,1,0,0,3,59,33,1,16,37,74,1,112
"A,C",1,34,53,23,1,0,0,3,59,33,1,16,37,74,1,112
BROADWAY-EASTERN PKWY,0,1,1,1,0,0,0,0,2,1,0,0,0,3,0,3
"J,L,Z",0,1,1,1,0,0,0,0,2,1,0,0,0,3,0,3
BUSHWICK AVE.-ABERDEEN ST.,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
L,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
CARROLL STREET,0,6,20,7,0,0,0,2,2,14,2,13,7,26,0,33
"F,G",0,6,20,7,0,0,0,2,2,14,2,13,7,26,0,33
CENTRAL AVENUE,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,2
M,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,2
CHAUNCEY STREET,0,3,6,0,1,0,0,0,4,5,0,1,3,7,0,10
"J,Z",0,3,6,0,1,0,0,0,4,5,0,1,3,7,0,10
CHURCH AVENUE,1,27,37,23,2,0,0,9,38,33,1,9,19,70,1,90
"2,5",1,9,9,8,0,0,0,0,22,4,1,0,3,24,0,27
"B,Q",0,10,17,7,2,0,0,3,15,11,0,7,10,25,1,36
"F,G",0,8,11,8,0,0,0,6,1,18,0,2,6,21,0,27
CLARK STREET,0,4,1,0,0,0,0,0,3,1,0,1,0,5,0,5
"2,3",0,4,1,0,0,0,0,0,3,1,0,1,0,5,0,5
CLASSON AVENUE,0,4,2,1,0,0,0,0,2,2,0,3,2,5,0,7
G,0,4,2,1,0,0,0,0,2,2,0,3,2,5,0,7
CLINTON-WASHINGTON AVENUES,0,16,32,13,1,0,0,8,12,23,2,17,17,45,0,62
C,0,16,28,12,1,0,0,6,10,22,2,17,16,41,0,57
G,0,0,4,1,0,0,0,2,2,1,0,0,1,4,0,5
CORTELYOU ROAD,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,2
Q,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,2
COURT STREET,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,2
R,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,2
CRESCENT STREET,0,5,8,7,2,0,0,0,1,17,1,3,5,17,0,22
"J,Z",0,5,8,7,2,0,0,0,1,17,1,3,5,17,0,22
DEKALB AVENUE,2,77,159,42,12,0,0,24,28,92,8,140,75,216,1,292
"B,Q,R",1,17,25,13,2,0,0,12,10,13,3,20,16,42,0,58
L,1,60,134,29,10,0,0,12,18,79,5,120,59,174,1,234
DISTRICT 30 OFFICE,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
N/A,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
DISTRICT 33 OFFICE,0,0,2,0,0,0,0,0,0,1,0,1,1,1,0,2
N/A,0,0,2,0,0,0,0,0,0,1,0,1,1,1,0,2
DITMAS AVENUE,0,3,3,0,0,0,0,0,1,1,0,4,1,5,0,6
F,0,3,3,0,0,0,0,0,1,1,0,4,1,5,0,6
EAST 105 STREET,0,0,1,1,0,0,0,0,1,1,0,0,0,2,0,2
L,0,0,1,1,0,0,0,0,1,1,0,0,0,2,0,2
EASTERN PKWY-BROOKLYN MUSEUM,0,8,6,0,0,0,0,1,5,1,2,5,7,7,0,14
"2,3",0,8,6,0,0,0,0,1,5,1,2,5,7,7,0,14
EUCLID AVENUE,0,6,20,2,0,0,0,2,21,2,2,1,3,25,0,28
"A,C",0,6,20,2,0,0,0,2,21,2,2,1,3,25,0,28
FLATBUSH AVE.-BROOKLYN COLLEGE,2,47,40,22,2,1,0,4,72,26,1,11,30,84,0,114
"2,5",2,47,40,22,2,1,0,4,72,26,1,11,30,84,0,114
FLUSHING AVENUE,0,22,49,15,5,1,0,6,27,26,3,30,21,71,0,92
G,0,0,2,2,0,0,0,0,1,3,0,0,1,3,0,4
"J,M",0,22,47,13,5,1,0,6,26,23,3,30,20,68,0,88
FOREST AVENUE,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
M,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
FORT HAMILTON PKWY,2,24,38,19,6,0,1,19,3,52,4,10,23,66,0,89
D,2,17,32,16,6,0,0,11,2,49,3,8,16,57,0,73
"F,G",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
N,0,6,6,3,0,0,1,8,0,3,1,2,7,8,0,15
FRANKLIN AVENUE,0,45,63,14,0,0,0,2,45,34,4,37,37,83,2,122
"2,3,4,5",0,42,58,14,0,0,0,2,39,34,3,36,35,77,2,114
C,0,2,4,0,0,0,0,0,5,0,1,0,1,5,0,6
S,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,2
FRESH POND ROAD,0,4,7,0,1,0,0,1,2,3,0,6,5,7,0,12
M,0,4,7,0,1,0,0,1,2,3,0,6,5,7,0,12
FULTON STREET,0,10,15,5,0,0,0,3,7,10,1,9,12,18,0,30
G,0,10,15,5,0,0,0,3,7,10,1,9,12,18,0,30
GATES AVENUE,0,1,7,3,0,0,0,2,3,4,1,1,3,8,0,11
"J,Z",0,1,7,3,0,0,0,2,3,4,1,1,3,8,0,11
GRAHAM AVENUE,0,6,21,3,3,0,0,4,7,14,0,8,8,25,0,33
L,0,6,21,3,3,0,0,4,7,14,0,8,8,25,0,33
GRAND ARMY PLAZA,0,0,3,1,0,0,0,0,2,0,0,2,2,2,0,4
"2,3",0,0,3,1,0,0,0,0,2,0,0,2,2,2,0,4
GRAND STREET,0,6,15,5,0,0,0,2,1,9,0,14,6,20,0,26
L,0,6,15,5,0,0,0,2,1,9,0,14,6,20,0,26
GRANT AVENUE,0,2,7,5,0,0,0,2,9,3,0,0,2,12,0,14
A,0,2,7,5,0,0,0,2,9,3,0,0,2,12,0,14
GREENPOINT AVENUE,2,9,32,10,0,0,0,3,10,18,1,21,21,32,0,53
G,2,9,32,10,0,0,0,3,10,18,1,21,21,32,0,53
HALSEY STREET,0,14,12,8,1,0,0,1,8,15,1,10,3,31,1,35
J,0,8,6,4,0,0,0,1,5,6,1,5,0,17,1,18
L,0,6,6,4,1,0,0,0,3,9,0,5,3,14,0,17
HEWES STREET,0,5,8,4,2,0,0,1,2,2,2,12,8,10,1,19
"J,M",0,5,8,4,2,0,0,1,2,2,2,12,8,10,1,19
HIGH STREET,0,2,5,2,0,0,0,2,1,4,0,2,3,6,0,9
"A,C",0,2,5,2,0,0,0,2,1,4,0,2,3,6,0,9
HOYT STREET,1,12,18,3,0,0,0,2,17,5,3,7,11,23,0,34
"2,3",1,12,18,3,0,0,0,2,17,5,3,7,11,23,0,34
HOYT-SCHERMERHORN,0,23,39,11,3,0,0,6,26,20,1,23,22,54,0,76
"A,C,G",0,23,39,11,3,0,0,6,26,20,1,23,22,54,0,76
JAY STREET-BOROUGH HALL,2,111,83,34,3,0,1,46,69,63,7,47,72,161,0,233
"A,C,F",2,111,83,34,3,0,1,46,69,63,7,47,72,161,0,233
JEFFERSON STREET,0,26,50,22,2,0,0,6,19,37,3,35,19,80,1,100
L,0,26,50,22,2,0,0,6,19,37,3,35,19,80,1,100
JUNIUS STREET,1,8,10,6,0,0,0,0,18,5,1,1,5,19,1,25
3,1,8,10,6,0,0,0,0,18,5,1,1,5,19,1,25
KINGS HIGHWAY,1,58,131,81,10,1,2,30,30,79,10,131,102,178,2,282
"B,Q",0,41,99,66,3,1,2,15,23,47,8,115,79,129,2,210
F,0,0,8,4,2,0,0,2,3,3,1,5,4,10,0,14
N,1,17,24,11,5,0,0,13,4,29,1,11,19,39,0,58
KINGSTON AVENUE,0,2,1,2,0,0,0,0,2,1,0,2,3,2,0,5
3,0,2,1,2,0,0,0,0,2,1,0,2,3,2,0,5
KINGSTON-THROOP AVENUES,0,3,9,3,1,0,0,0,15,0,0,1,2,14,0,16
C,0,3,9,3,1,0,0,0,15,0,0,1,2,14,0,16
KOSCIUSKO STREET,0,5,14,2,0,0,0,2,3,3,0,13,5,16,0,21
J,0,5,14,2,0,0,0,2,3,3,0,13,5,16,0,21
LAFAYETTE AVENUE,0,5,3,6,0,0,0,2,3,7,1,1,0,14,0,14
C,0,5,3,6,0,0,0,2,3,7,1,1,0,14,0,14
LAWRENCE STREET,0,2,1,0,0,0,0,0,2,0,0,1,1,2,0,3
R,0,2,1,0,0,0,0,0,2,0,0,1,1,2,0,3
LIBERTY AVENUE,0,3,9,6,0,0,1,1,6,6,1,3,2,16,0,18
C,0,3,9,6,0,0,1,1,6,6,1,3,2,16,0,18
LIVONIA AVENUE,3,80,86,45,4,0,0,7,142,49,2,18,51,167,0,218
L,3,80,86,45,4,0,0,7,142,49,2,18,51,167,0,218
LORIMER STREET,1,7,19,7,1,0,0,8,6,11,1,9,12,23,0,35
"J,M",1,4,11,3,1,0,0,5,3,5,1,6,8,12,0,20
L,0,3,8,4,0,0,0,3,3,6,0,3,4,11,0,15
MARCY AVENUE,0,14,24,7,2,0,0,4,7,15,0,21,8,39,0,47
"J,M,Z",0,14,24,7,2,0,0,4,7,15,0,21,8,39,0,47
METROPOLITAN AVENUE,1,15,32,6,1,0,0,6,11,16,1,21,17,38,0,55
G,1,15,30,6,1,0,0,6,10,15,1,21,17,36,0,53
M,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,2
MONTROSE AVENUE,0,10,7,3,0,0,0,1,3,4,1,11,11,9,0,20
L,0,10,7,3,0,0,0,1,3,4,1,11,11,9,0,20
MORGAN AVENUE,0,31,52,5,2,0,0,7,12,19,1,51,20,69,1,90
L,0,31,52,5,2,0,0,7,12,19,1,51,20,69,1,90
MYRTLE AVENUE,0,31,39,9,0,0,0,3,27,17,4,28,18,61,0,79
"J,M,Z",0,31,39,9,0,0,0,3,27,17,4,28,18,61,0,79
MYRTLE/WYCKOFF AVENUES,1,20,41,14,0,0,0,4,6,51,2,13,16,59,1,76
L,1,20,41,14,0,0,0,4,6,51,2,13,16,59,1,76
MYRTLE-WILLOUGHBY AVENUES,0,9,14,3,2,0,0,1,5,11,0,11,9,19,0,28
